building_id,damage_grade
802906,3
28830,2
94947,3
590882,2
333020,2
728451,3
475515,1
441126,2
989500,1
7962,3
452227,2
444381,2
287845,3
563431,2
633759,2
354011,2
483543,3
433870,2
219578,2
933368,2
519606,2
801078,3
973909,2
858160,2
529366,3
406413,2
16485,2
157370,2
119565,2
141871,3
903120,3
252816,3
33651,3
90130,2
306024,2
677028,2
833827,3
1005736,2
440102,1
132583,2
362494,2
987864,3
402996,1
871517,2
877361,2
288541,1
893477,3
135600,3
987565,3
552720,2
624119,3
961851,2
1044113,2
270811,2
767109,3
415067,2
439999,2
648002,2
612701,3
591993,3
907445,2
483230,2
1041381,2
425720,1
426951,2
732884,2
529881,2
965807,3
928851,2
67684,3
361363,2
645772,3
931198,2
250898,3
351011,2
262843,2
722503,3
511997,3
266161,2
643474,3
697129,2
623033,2
601975,2
95369,2
96470,2
834001,2
820425,2
627034,2
71947,2
635262,1
792665,2
402299,2
843295,2
871860,2
790140,2
170270,3
32048,3
605667,2
824847,2
550067,2
187320,2
767971,2
591587,3
358906,2
247133,2
718071,2
663374,2
849622,2
124969,2
714885,3
1009839,2
656607,2
719281,2
563429,2
958524,2
295363,1
910378,2
238065,2
301655,2
712335,3
569370,2
954281,3
760600,2
618331,3
932074,2
86370,3
890803,2
996541,2
699254,3
294469,2
852187,3
187122,2
913994,2
456795,3
838913,2
731999,3
377912,3
60500,2
325898,2
670184,2
638140,3
212481,2
304846,2
907103,3
757178,3
681221,3
443607,3
561297,2
933242,1
855142,2
745413,3
76950,1
891578,2
492867,3
261907,3
213830,3
911759,3
509749,1
959512,2
512910,1
117590,3
441023,3
225834,2
692192,3
146670,2
838647,2
415919,2
150733,3
930554,2
687280,3
38340,2
542385,2
158901,3
1025864,2
939805,2
794193,2
1015061,2
433188,2
879546,3
331971,1
612661,2
497383,2
184776,3
703296,2
599025,2
419957,2
116876,3
515935,2
122112,2
910366,2
168711,2
343093,2
580903,2
698124,2
633219,2
866259,1
542830,2
586356,3
273988,2
1048981,2
337221,2
921736,1
884288,2
1022710,3
724285,2
14451,2
841664,3
27947,3
207750,3
64707,2
920565,1
568881,2
75283,2
604893,3
627420,3
536831,2
102240,2
181389,2
117107,2
566877,2
747500,1
343704,2
698407,3
927743,3
618404,2
259577,2
729715,2
545313,3
258239,3
887647,2
1049790,2
460282,2
453454,3
432609,1
597468,2
290507,3
988369,2
476996,2
771061,1
1038852,2
47497,3
512246,2
838560,2
385005,2
511746,2
464443,2
961808,2
270841,3
457460,3
915464,3
968137,3
462457,2
423322,1
192894,3
653339,2
83653,2
898324,1
822274,3
975397,2
15665,1
354594,2
563238,2
793945,2
639564,2
226736,2
737045,3
912541,2
908776,2
551411,2
346645,3
257919,1
133998,2
194930,2
903580,2
362767,2
719207,3
843540,2
859958,2
143041,3
888374,1
525359,2
11718,2
259925,2
285746,2
514265,2
696371,1
936264,2
776026,3
979466,3
1036570,3
172998,2
826011,3
884517,3
394060,3
637782,2
692413,2
34714,2
204676,3
294272,2
121645,2
679111,1
175764,3
1037250,2
258072,3
376403,3
810700,3
406694,2
799900,2
569940,2
410519,3
435557,2
421977,3
786375,3
12966,2
416978,2
70196,2
795046,2
13360,3
835610,1
337470,2
42674,3
1032526,3
632119,2
314523,3
870237,2
1015675,2
915971,3
21514,2
19963,2
402609,2
753674,3
933489,2
862747,2
475344,2
842498,3
370360,2
500500,2
834807,1
231900,2
613201,2
138623,2
350829,3
594270,1
576520,1
86951,2
343800,2
272644,2
873535,2
34371,2
719278,2
762450,3
874667,2
905296,3
839504,2
964149,3
1050285,2
521772,2
54461,1
221511,1
394600,3
782109,2
204664,1
175742,2
189566,2
446701,2
846487,1
656039,2
393373,2
848600,2
142654,2
412535,2
541494,2
547954,3
1024429,1
671050,1
983312,1
194805,1
752140,2
1044041,3
966653,2
599024,1
918265,2
845581,2
210904,2
216520,3
741802,3
573845,2
926959,3
539938,3
224125,2
186366,2
372513,3
408829,2
195802,2
708212,2
960436,2
369584,3
509342,3
1040810,2
143285,2
402686,3
592146,3
402434,2
589409,3
10047,2
709267,2
820614,2
828297,3
964299,2
869974,2
162938,2
529575,2
473868,3
699791,2
352321,1
792717,2
587002,3
303098,2
57143,3
963316,3
365529,1
880198,2
624761,2
385161,2
932275,3
213402,3
433872,2
591436,3
223579,2
626513,2
670813,3
761984,3
623252,3
614195,2
341746,2
464318,2
358571,2
1039958,2
654242,3
850792,3
195023,3
260108,3
931974,2
358361,2
75819,2
946640,2
364248,2
445149,2
451626,1
176603,2
702616,2
989660,3
224516,2
950324,2
297133,1
392566,2
469204,1
613917,3
879334,3
815818,2
994920,2
621897,3
841133,3
810730,2
140570,2
181589,2
732305,3
290140,2
79824,2
802955,3
754405,2
698003,2
579517,2
200363,2
267182,2
199812,2
256839,2
156922,2
633622,2
127505,2
1004230,2
1042528,2
999520,2
153723,2
23972,3
329419,3
366166,2
466762,2
375910,2
909560,2
649823,3
794192,2
306848,1
691627,3
916862,2
860885,2
637188,1
855836,2
223951,3
727702,2
524371,2
237658,3
700528,2
188873,3
615418,3
1050374,1
269301,2
903172,3
562038,2
765212,3
716452,2
517327,3
1028313,2
679968,2
692372,2
470638,3
542390,3
724572,3
960218,2
1024956,3
164203,3
417405,3
458252,2
628052,2
766971,2
765799,3
647304,3
537366,2
555744,2
609774,3
75930,2
507345,3
235883,2
462288,2
475902,2
1031836,2
459527,2
143298,2
808003,2
792223,2
286758,2
529159,1
338071,2
904055,3
240382,2
333395,2
978688,2
925075,3
306738,2
90881,2
662629,3
133894,2
124466,2
597626,1
490195,2
267571,3
783004,3
788968,3
496960,3
138890,2
871546,2
1047765,1
233314,2
804936,3
521737,2
464027,2
540203,3
990790,2
500061,2
591186,2
788158,2
907660,3
183631,2
31295,3
271658,2
612337,2
359524,1
58652,3
426991,1
852862,2
340101,2
59811,2
581576,2
57922,2
802845,3
446125,2
293613,3
179913,2
115214,2
131468,2
296402,2
752666,2
106292,2
539946,3
774433,2
608110,2
344788,3
176654,2
637899,2
1048118,3
917880,1
1015027,2
19645,3
856765,2
841725,2
765852,2
119113,2
447993,2
441078,2
68949,2
289989,2
582707,2
257137,2
913266,3
48327,2
505399,2
164881,2
174798,3
322052,2
6220,2
959468,3
854197,1
663193,2
756717,1
87320,3
890442,3
448078,3
281886,2
885837,3
487122,3
517025,3
188591,2
1016081,2
175362,3
153751,2
450051,2
567556,2
180242,2
1037387,3
338331,2
190657,2
499572,2
404723,2
933382,2
444920,1
641115,2
279135,3
136665,3
251752,2
995045,2
79484,2
283527,2
821667,3
1046774,3
397613,2
329802,1
62856,3
480897,2
331096,3
20454,3
309069,2
1015552,2
649191,2
738463,2
548124,2
74660,2
833968,2
890312,3
787189,2
860456,2
458965,2
107638,2
172467,3
682960,3
921648,2
939221,1
215109,3
865497,3
722025,1
922502,3
829346,2
651553,1
705153,2
801513,2
953909,2
86149,1
994663,3
825533,2
984945,1
141555,2
889491,2
44720,2
113742,2
96808,3
635694,2
722696,3
467187,2
408894,2
465912,2
514459,2
658455,2
723100,2
256826,2
74777,3
115253,3
1021341,2
1022848,2
50846,2
409189,3
160548,3
291586,1
946019,1
435809,1
656655,2
324469,2
1030085,2
1020488,2
926021,2
649443,2
260050,2
117310,2
921315,2
222716,2
293077,2
768937,2
70936,3
99991,1
470563,2
550861,2
43036,2
898068,3
111480,3
153641,3
993948,2
622946,2
321106,2
868080,3
386120,2
189516,2
963569,2
235638,3
194608,3
909656,2
728469,2
303039,2
10360,2
603606,2
392822,2
1025349,3
743195,2
468795,2
480814,3
96248,3
923687,3
650567,2
1236,3
1013735,2
394003,3
1052121,2
364055,2
1323,3
185703,3
91858,3
1034568,2
791397,3
296308,2
794578,2
534275,2
673673,2
534221,2
290980,1
343802,3
10337,2
1013270,2
264205,2
936594,3
897749,2
163423,2
1003893,3
749524,1
162441,3
589785,2
403199,2
290807,3
440148,3
730483,1
905234,2
642796,3
1029428,2
164235,2
981576,2
89335,2
797052,2
904099,3
251453,2
960207,1
379490,2
944554,2
612418,2
328451,2
231696,1
477543,2
831558,2
78198,2
521968,1
129426,2
810212,2
738226,2
208337,2
92646,2
204879,2
845483,2
325083,3
766923,2
710178,2
758032,2
330489,3
802870,2
766679,2
223181,2
668761,3
615175,3
956645,1
258860,2
865391,2
335302,2
975963,3
171513,2
700386,2
731953,3
736764,3
453475,2
139246,2
251708,3
921312,3
747774,2
33717,3
817048,2
976868,2
857204,3
115235,3
743307,2
402862,2
445902,2
145669,2
1030942,3
640494,2
66045,2
504363,2
185273,2
602164,2
75861,2
90610,3
858734,3
327182,2
37322,2
603257,2
485137,2
298863,2
985153,1
613281,2
686125,2
293276,2
17130,2
46946,2
81465,2
752890,2
453197,1
398137,2
656357,2
532231,3
532642,2
823089,1
490782,3
92280,3
674407,2
828899,2
74455,2
114816,2
564778,2
535869,2
850962,3
849997,1
148232,2
385450,2
830201,2
864829,3
421958,2
311165,2
274484,3
550561,3
292048,3
357681,3
371334,2
329454,2
611472,2
165930,2
346395,2
911168,2
656592,2
398233,2
164289,2
181056,2
208488,1
967152,2
412217,3
970704,3
160664,2
784887,2
215431,2
204014,2
686573,2
928536,3
28696,2
228660,3
805866,1
89201,3
216684,1
555797,2
325474,3
1046618,3
973508,2
726305,1
154407,2
410679,3
48262,2
319144,2
1045402,3
854279,2
4375,2
656323,2
217057,2
90120,2
332744,2
684273,2
400995,3
423950,3
135784,3
939922,2
319593,2
787163,2
102819,3
532569,2
387060,2
489396,3
258438,2
3777,3
601511,3
210574,2
702461,1
460382,2
335128,3
688489,3
294382,2
822238,2
711275,3
213630,1
261198,2
893681,2
294264,2
853521,2
702107,2
304465,3
204073,2
376985,3
342985,2
16508,2
244890,2
783865,2
670408,2
198122,2
418572,2
833958,2
242057,2
13808,2
899997,3
467843,3
953345,3
443930,1
1048854,3
276078,3
844463,3
371428,1
11200,3
929608,3
555430,3
571185,1
356954,3
291614,3
712973,2
45284,1
863731,2
493363,3
487208,2
518938,3
614848,3
205410,3
357942,2
42162,3
866888,3
640132,2
306647,2
411950,2
460926,3
743155,2
302507,3
28644,2
460949,3
152755,3
232426,2
310812,3
215003,3
441337,2
697661,3
449643,2
87974,1
454895,3
683150,3
223796,2
13596,2
378727,2
1049267,3
561892,2
380399,2
65577,3
790549,3
1002998,2
261305,2
51200,1
1004820,2
602713,2
263029,2
60919,2
980286,2
656028,3
908243,2
292650,1
197783,2
773398,2
794004,3
204847,2
618848,2
128975,2
304133,3
631245,3
815170,2
836757,2
871833,3
898118,2
629630,1
59283,2
336256,1
550284,2
618732,3
115534,2
700524,2
440058,3
636743,3
620569,2
800379,2
341384,2
417854,2
759782,2
852698,3
885671,2
900650,3
678060,2
317652,2
366649,2
61531,3
48683,3
29341,3
809987,3
665157,2
1038235,2
796398,2
147813,3
157752,2
363545,2
882052,3
113302,2
309162,2
969634,2
597272,3
941107,3
488578,3
107615,2
1028365,3
434716,2
566312,2
915040,2
24928,2
865200,2
446867,2
697278,2
518186,2
632556,2
743474,1
337412,2
861245,2
260830,3
43080,2
994094,3
1043699,2
274370,2
126127,2
236702,2
1029875,3
851377,2
182972,3
1043079,2
773336,2
974676,2
710936,2
31080,2
855746,2
17746,2
975985,2
12771,2
34734,3
293758,3
589564,2
116868,2
14337,1
992622,2
345088,2
174500,2
573656,2
416813,2
388432,2
874042,2
171116,2
257982,2
893025,3
728519,2
1014745,2
848163,2
556502,2
243903,2
681716,2
131151,2
629851,2
590242,2
655057,2
124296,2
50244,2
936196,1
502121,2
284343,3
826405,3
205052,3
416134,2
536742,2
518147,2
338524,2
652622,2
290491,2
405056,2
565141,3
943234,3
970682,3
518931,2
616109,2
835418,2
42748,2
523649,2
113294,2
931250,2
497109,2
948444,2
472591,2
441412,2
1028708,2
121325,2
956089,1
172780,3
928439,3
140882,2
605292,2
862043,2
139738,2
1007697,2
733541,3
240056,3
371369,2
145012,3
1026095,2
941855,3
504540,3
717358,2
349614,2
171617,2
813559,2
732529,3
802079,3
185727,3
49039,2
359400,2
964486,2
457984,3
823552,2
636805,3
589845,2
732941,2
789333,2
982262,2
125797,2
823727,1
881482,2
608887,2
789998,2
748027,2
99220,3
321612,2
254857,2
10648,2
36270,3
1008166,2
306950,2
375839,3
309782,3
560666,2
622015,2
553385,2
407711,2
197130,2
291642,3
562048,2
171462,3
38640,2
577146,2
423370,2
832932,3
610116,1
432220,2
519951,3
1024027,3
684042,2
93278,1
547150,2
180861,2
618116,3
683452,3
532998,2
692133,2
136790,2
2588,2
378214,2
114861,3
835646,3
308994,2
273130,2
286929,2
848195,2
68800,2
1000925,2
294738,2
791031,1
840499,2
620003,2
998931,2
242217,3
710718,3
327465,2
214308,2
526574,2
514915,2
278755,3
626745,2
492576,2
654085,2
57588,2
340978,1
825913,2
12527,2
298055,2
321485,2
759808,3
484416,2
356859,1
573475,2
529397,2
471942,3
656181,2
396381,1
943339,2
159582,2
240774,2
187203,3
319062,3
256549,2
577595,2
616844,3
946273,2
997315,3
272757,2
657331,2
54888,3
823836,2
359646,2
734569,3
448977,3
562837,3
188484,2
731124,2
1044470,2
1030816,2
415925,2
96680,2
783077,3
88863,3
711395,1
285135,2
708174,2
846327,2
134914,2
239442,2
378032,2
680720,3
386621,2
937837,2
522643,2
354416,3
66256,3
320029,2
858752,3
773527,2
257904,2
985424,2
558905,3
633748,2
1046069,2
40199,2
721883,3
745155,3
684547,2
685650,2
316894,2
217451,2
697714,3
569563,2
646454,2
708880,2
915347,3
789645,1
24366,2
493000,2
141567,2
806010,2
983016,2
989049,1
463287,2
319368,1
139713,3
276430,2
500282,3
219349,2
544704,2
714007,2
837534,2
920299,2
564257,3
346858,3
42025,2
767214,2
718753,3
967772,3
323402,2
589145,3
774686,2
15089,2
50365,2
