iter	TotalF1	MultiClass
0	0.7227845576	1.07244488111	0.7247699522	1.04833328522	0.7257430996	1.025683133	3	0.725502348	1.00466586544	0.7267869699	0.984984899555	0.7266241817	0.966561854666	0.7269971662	0.948902523777	0.7287587611	0.9323724688	8	0.729072332	0.916918832999	0.729285419	0.9022162617110	0.7293417472	0.8884810664111	0.7295976631	0.8749829116112	0.7292060439	0.862295008
13	0.7292847422	0.8502190068
14	0.7310192959	0.8385699142
15	0.7313570434	0.8276416219
16	0.7329840598	0.8171450215117	0.7327288155	0.8072756554118	0.7326596271	0.7979451591119	0.7331198244	0.7890306022220	0.7329746516	0.7802496522221	0.733059654	0.772016916222	0.7330651298	0.7640827498223	0.7330873093	0.7566403842224	0.7333772979	0.7493807725225	0.7333692229	0.742542126	226	0.7334798547	0.735938527	227	0.7327666918	0.729733228	228	0.7331931129	0.7238629	0.29	0.7331095979	0.718130	0.7330	0.733020891	0.7125431	0.31	0.7330576885	0.7073532	0.332	0.7330941972	0.7021933	0.33	0.7331299916	0.69718234	0.34	0.7332639665	0.69243535	0.35	0.7333569681	0.68786336	036	0.7338910129	0.683489437	037	0.7339579284	0.679251338	038	0.7343856234	0.67523433939	0.734589933	0.6713584216440	0.7347014617	0.6676170164441	0.734355027	0.6641029568
42	0.7346099911	0.6605024163
43	0.7346944485	0.6569468159
44	0.7350917142	0.6537490939445	0.7354364264	0.6505004269446	0.7358499103	0.6474331626447	0.736141629	0.6443807516448	0.7358211674	0.6416038468449	0.7360117787	0.638753427550	0.7362137918	0.6360916148551	0.7362884718	0.6335015047552	0.7365149257	0.63114973
53	0.736565132	0.6286655453
54	0.7371269374	0.6264123114
55	0.7376025206	0.6241554533
56	0.7376436363	0.6218613692
57	0.7379910244	0.6198707129
58	0.7381083255	0.6177669584
59	0.7380853549	0.6158606624
60	0.7383172935	0.6139668902
61	0.738389141	0.6122060475
62	0.7386616973	0.6105916015
63	0.7386758032	0.608889644
64	0.7386550295	0.6071546735
65	0.73910598	0.6056974579
66	0.7391575107	0.6042231198
67	0.7393237519	0.602638256
68	0.7393171084	0.6011386796
69	0.739575236	0.59976634
70	0.7397281764	0.5984072543
71	0.7397781574	0.597159421
72	0.739960154	0.5957637064
73	0.7401327771	0.594743091
74	0.740126374	0.5936648971
75	0.7401580958	0.592682502
76	0.7404083498	0.5915234013
77	0.7404573659	0.5902497661
78	0.7406125922	0.5890852545
79	0.7408999464	0.5879992255
80	0.7409563409	0.586885083
81	0.7409188857	0.5858602361
82	0.7411059908	0.5848371336
83	0.7412245075	0.5840932283
84	0.7412936185	0.5831318895
85	0.7413203456	0.5823768596
86	0.7412531725	0.5817763796
87	0.7414229038	0.5808204356
88	0.7415331153	0.5801631856
89	0.741555961	0.5792532236
90	0.7416054163	0.5786043479
91	0.741664566	0.5778439858
92	0.7417668299	0.5772685782
93	0.7418791728	0.5764452849
94	0.7419397346	0.5757231983
95	0.7419323354	0.5749448088
96	0.7419567085	0.5744729909
97	0.7419835635	0.5740212254
98	0.7419912378	0.5733389253
99	0.7420048612	0.5728965324
100	0.7420745618	0.5722893137
101	0.7420293653	0.5716873142
102	0.7421856192	0.5710750505
103	0.7422015022	0.5706460784
104	0.742379839	0.570047514
105	0.7424670274	0.5694787343
106	0.7425705635	0.5690959855
107	0.7426712788	0.5686762752
108	0.7429006628	0.5683550752
109	0.7428842515	0.5680127015
110	0.7429218143	0.567458081
111	0.7430056604	0.5669758332
112	0.7431475582	0.5665020397
113	0.7431910208	0.5659905138
114	0.7433327661	0.5657114086
115	0.7433796832	0.5652938678
116	0.7433272531	0.5650521074
117	0.7435109945	0.5647807989
118	0.7436557912	0.5645201858
119	0.7436961319	0.5640989277
120	0.7437289469	0.5638326154
121	0.743760155	0.5635616995
122	0.7439360255	0.5631009277
123	0.7439364578	0.5626954165
124	0.7439987466	0.5622196078
125	0.7439866474	0.5618680592
126	0.7440215788	0.5614759305
127	0.7441378172	0.5610799439
128	0.7441413371	0.5608497706
129	0.7442413817	0.5606119085
130	0.7443119675	0.5602798879
