iter	Passed	Remaining
0	20894	41768810
1	39957	39917646
2	59013	39283369
3	78560	39201451
4	102291	40814303
5	120809	40148949
6	140801	40088312
7	164098	40860609
8	191336	42327835
9	216675	43118482
10	242056	43768267
11	264447	43810157
12	294204	44968014
13	320247	45429367
14	344946	45647975
15	367428	45561103
16	389454	45428727
17	409724	45115194
18	430235	44857662
19	453659	44912276
20	478366	45080329
21	500264	44978366
22	521631	44837660
23	543118	44716725
24	562384	44428360
25	583388	44292671
26	604104	44144346
27	624957	44014876
28	645091	43843980
29	665015	43669325
30	680762	43239409
31	699148	42997661
32	721896	43029380
33	742454	42931343
34	766078	43009861
35	787394	42956757
36	806533	42789847
37	825242	42608559
38	844073	42441762
39	861200	42198806
40	878927	41995592
41	900322	41972180
42	919000	41825214
43	939289	41755695
44	958880	41658051
45	979924	41625480
46	1002401	41652975
47	1027208	41773142
48	1050014	41807722
49	1071937	41805581
50	1089372	41631128
51	1107924	41504547
52	1129482	41492484
53	1149413	41421455
54	1166793	41262050
55	1185697	41160645
56	1202471	40989524
57	1222300	40925986
58	1241200	40833392
59	1259662	40729092
60	1277801	40617338
61	1301187	40672606
62	1321979	40645611
63	1340207	40541266
64	1360697	40506923
65	1391650	40779585
66	1415682	40843496
67	1432684	40705091
68	1452971	40662148
69	1471819	40580178
70	1492085	40538502
71	1514226	40547609
72	1532685	40458685
73	1553831	40441610
74	1576811	40471503
75	1595447	40390006
76	1616670	40374768
77	1638904	40384276
78	1658287	40323682
79	1676935	40246457
80	1697355	40212661
81	1716563	40150848
82	1735643	40087082
83	1758454	40109519
84	1777650	40049416
85	1798445	40025871
86	1816155	39934536
87	1836876	39910318
88	1855955	39850915
89	1876544	39824446
90	1897449	39804741
91	1919067	39799800
92	1941091	39802806
93	1962236	39787468
94	1981408	39732448
95	2000942	39685352
96	2022024	39669199
97	2038761	39568622
98	2057983	39517436
99	2079698	39514276
100	2100629	39496000
101	2124012	39523286
102	2145435	39513508
103	2168960	39541826
104	2192250	39564898
105	2210806	39502521
106	2230458	39460346
107	2250008	39416817
108	2267656	39340715
109	2287140	39297234
110	2305625	39237178
111	2324154	39178610
112	2344937	39158382
113	2364309	39114800
114	2383166	39063206
115	2404060	39045250
116	2423741	39007743
117	2441380	38937945
118	2460745	38896317
119	2482349	38890146
120	2503312	38873755
121	2523729	38848878
122	2542427	38797860
123	2562194	38763519
124	2584088	38761323
125	2605270	38748227
126	2626126	38730192
127	2646513	38705261
128	2669147	38712990
129	2689683	38690069
130	2712330	38697291
131	2734594	38698656
132	2756034	38688094
133	2779326	38703157
134	2805407	38756178
135	2828838	38771725
136	2849259	38745764
137	2870801	38735014
138	2896413	38778599
139	2917116	38755977
140	2938630	38744075
141	2957858	38702121
142	2978283	38676024
143	2999599	38661506
144	3021385	38652891
145	3040452	38609587
146	3061867	38596199
147	3083994	38591608
148	3105448	38578426
149	3125187	38543982
150	3144418	38503505
151	3163821	38465412
152	3186681	38469288
153	3205341	38422467
154	3225605	38395109
155	3241682	38318352
156	3263390	38308462
157	3283600	38280966
158	3303969	38255390
159	3325311	38241080
160	3342658	38181052
161	3359731	38118435
162	3378711	38077875
163	3398634	38048132
164	3420252	38037354
165	3442841	38037175
166	3462747	38007282
167	3481770	37967882
168	3503941	37962818
169	3524411	37939250
170	3547891	37947917
171	3570461	37946531
172	3592890	37943412
173	3617432	37962247
174	3633862	37895998
175	3653345	37861949
176	3672990	37829728
177	3692418	37795434
178	3709415	37736567
179	3727334	37687488
180	3745282	37639058
181	3763228	37590930
182	3783966	37570856
183	3803141	37535357
184	3823371	37510375
185	3844602	37495207
186	3862933	37451865
187	3881869	37414611
188	3905146	37419154
189	3927289	37412603
190	3947931	37391669
191	3965888	37345452
192	3983813	37299227
193	4001890	37254714
194	4024390	37251411
195	4044665	37227432
196	4062128	37177759
197	4085342	37180740
198	4105047	37151710
199	4122647	37103830
200	4141967	37071643
201	4161775	37043919
202	4181240	37013249
203	4199511	36972172
204	4217463	36928524
205	4238250	36909813
206	4257630	36878898
207	4278210	36858425
208	4296405	36817525
209	4318664	36811477
210	4339200	36790660
211	4359741	36769892
212	4377566	36726341
213	4398579	36709642
214	4416741	36669227
215	4436526	36642418
216	4457956	36629200
217	4479097	36613539
218	4500304	36598365
219	4520493	36574899
220	4544761	36584298
221	4564167	36554458
222	4586319	36546593
223	4609552	36547170
224	4631005	36533489
225	4650847	36507097
226	4669175	36468931
227	4687851	36433652
228	4708271	36412001
229	4728075	36385622
230	4750002	36375557
231	4772039	36366232
232	4788110	36311547
233	4807243	36280309
234	4829213	36270478
235	4851110	36259993
236	4870364	36229758
237	4888839	36193842
238	4912126	36193537
239	4932920	36174749
240	4949717	36126776
241	4968472	36093282
242	4992761	36099928
243	5018745	36118509
244	5045724	36143861
245	5068541	36139114
246	5087405	36106163
247	5111893	36113057
248	5130236	36076479
249	5153257	36072804
250	5172356	36041641
251	5193108	36022037
252	5216169	36018370
253	5240952	36026389
254	5263422	36018324
255	5281369	35979326
256	5302320	35960873
257	5324688	35951965
258	5343491	35918992
259	5363725	35895700
260	5383065	35866477
261	5403821	35846724
262	5423928	35822673
263	5443057	35792226
264	5461201	35755412
265	5479191	35717736
266	5496450	35675463
267	5513209	35630144
268	5531386	35594165
269	5550883	35566769
270	5569253	35532245
271	5591382	35521721
272	5612392	35504033
273	5633693	35488159
274	5658352	35493301
275	5678390	35469369
276	5694979	35424005
277	5711835	35380505
278	5729891	35344596
279	5746661	35300917
280	5763731	35259266
281	5782240	35226556
282	5801528	35198671
283	5821388	35174305
284	5841766	35153086
285	5861010	35125074
286	5880376	35097854
287	5898536	35063524
288	5917142	35031938
289	5936306	35003739
290	5955365	34974982
291	5974071	34944229
292	5993610	34918405
293	6015485	34906182
294	6034541	34877606
295	6054790	34855954
296	6074857	34833274
297	6099187	34834954
298	6124610	34842682
299	6147120	34833680
300	6170123	34827376
301	6193024	34820380
302	6214315	34804269
303	6236064	34790678
304	6261878	34799620
305	6284712	34791840
306	6306414	34777719
307	6331216	34780579
308	6359355	34801521
309	6383783	34801917
310	6407430	34797908
311	6428855	34781757
312	6449227	34759894
313	6468906	34734319
314	6491218	34722867
315	6511134	34698580
316	6533861	34689238
317	6557571	34685014
318	6581313	34680841
319	6605593	34679367
320	6634810	34703574
321	6661556	34714569
322	6689579	34731967
323	6709949	34709491
324	6728380	34677039
325	6750433	34663266
326	6775508	34664909
327	6804972	34688759
328	6831349	34696610
329	6858851	34709946
330	6885167	34717054
331	6915018	34741717
332	6940766	34745519
333	6968075	34756928
334	6991618	34749385
335	7019153	34761521
336	7046634	34773154
337	7071014	34769307
338	7094360	34760271
339	7126406	34793632
340	7153478	34802406
341	7175587	34786914
342	7202587	34795007
343	7225273	34782132
344	7253271	34794681
345	7281388	34807564
346	7306482	34805806
347	7324357	34769649
348	7344623	34744907
349	7362794	34710316
350	7384794	34693805
351	7406695	34676803
352	7431580	34673690
353	7451984	34649621
354	7469996	34614489
355	7495044	34611948
356	7515736	34589229
357	7538740	34577129
358	7562069	34566451
359	7584918	34553517
360	7605168	34528729
361	7627116	34511646
362	7648701	34492906
363	7670012	34472914
364	7690988	34451412
365	7710154	34421836
366	7730410	34397169
367	7749819	34368763
368	7771334	34349719
