iter	TotalF1:average=Micro	MultiClass
0	0.7176319201	0.7808427671
1	0.7332728714	0.6798896577
2	0.7383963039	0.6284047297
3	0.7398587851	0.6030640908
4	0.7408844213	0.586031235
5	0.7443032084	0.5720512092
6	0.7453098513	0.5673358666
7	0.7467580876	0.5634607179
8	0.7475558046	0.5582773902
9	0.7482822969	0.5550762537
10	0.7488758363	0.5537582538
11	0.7495406005	0.5518856731
12	0.7498967241	0.5508457097
13	0.7501626298	0.549507583
14	0.7503810523	0.5489170814
15	0.7504047939	0.5477210757
16	0.7511217895	0.5466773545
17	0.7515016548	0.5458218787
18	0.751715329	0.5453581204
19	0.7519954796	0.5441079655
20	0.7522851269	0.5434922036
21	0.7526507471	0.5430380785
22	0.7528691697	0.5427264559
23	0.7529024079	0.5416345191
24	0.7531208304	0.5408645291
25	0.7533345046	0.5402781564
26	0.753325008	0.5399852626
27	0.7531398236	0.5389378999
28	0.7536668867	0.5381264367
29	0.7538568193	0.537932005
30	0.754122725	0.5373363509
31	0.7545025902	0.5368646136
32	0.7546212981	0.5362276971
33	0.7547542509	0.5358128094
34	0.7548017341	0.5354321083
35	0.7550771364	0.5348304276
36	0.7550961296	0.5345234689
37	0.7552433274	0.5343547607
38	0.7556184444	0.5339409206
39	0.7557466489	0.5336718274
40	0.7559318332	0.5332850406
41	0.7559793163	0.5331576136
42	0.75588435	0.5329073531
43	0.7559318332	0.5326326579
44	0.756064786	0.5325197372
45	0.7563449366	0.5323419752
46	0.7564731412	0.5320445449
47	0.7565491142	0.5318451928
48	0.7567295502	0.531554986
49	0.7567153052	0.5312832357
50	0.7569859592	0.5311077847
51	0.7570286941	0.530923534
52	0.7570761772	0.5306596293
53	0.7570809255	0.5304323689
54	0.757223375	0.530298923
55	0.7573943144	0.5300919892
56	0.7575889953	0.5299005644
57	0.757750438	0.5296912662
58	0.757750438	0.5295091053
59	0.7578976358	0.5292193834
60	0.7580590785	0.5291180628
61	0.7580733235	0.5290808543
62	0.7580970651	0.5289609114
63	0.7582727527	0.5288181362
64	0.7582347662	0.5285761552
65	0.7582490112	0.528466227
66	0.7581920314	0.5282293559
67	0.7582252696	0.5280588972
68	0.7581872831	0.527913547
69	0.7581967797	0.5278599662
70	0.7583914606	0.5276658889
71	0.7585054202	0.5274522305
72	0.758548155	0.5272906831
73	0.7585956382	0.5272411793
74	0.7587903191	0.5270621145
75	0.7587950674	0.5269240346
76	0.7589470135	0.5267594125
77	0.7589612585	0.5266282545
78	0.758909027	0.526434095
79	0.7590704698	0.5262422446
80	0.7592176675	0.5260272585
81	0.7592271642	0.5258874104
82	0.7592746473	0.5257647945
83	0.7592319125	0.5256285473
84	0.7592366608	0.5255998257
85	0.7592888923	0.5254488103
86	0.7592651507	0.5252636327
87	0.7593648653	0.5251859509
88	0.7594218451	0.5251272083
89	0.7595168114	0.5250539118
90	0.7595927845	0.5248716612
91	0.759796962	0.5247920772
92	0.7596450159	0.5246926698
93	0.7597304856	0.5246713773
94	0.7598302002	0.5245377054
95	0.7598159553	0.5244263877
96	0.7598919283	0.5243359719
97	0.7599821463	0.5242547938
98	0.7600106362	0.5242016856
99	0.7599061733	0.5241143772
