iter	Passed	Remaining
0	1	127
1	4	227
2	7	255
3	11	271
4	12	228
5	15	247
6	19	253
7	20	232
8	23	236
9	24	224
10	28	227
11	30	222
12	33	224
13	36	226
14	40	227
15	43	228
16	46	228
17	50	227
18	53	227
19	56	226
20	59	225
21	63	223
22	66	222
23	69	220
24	73	219
25	76	217
26	79	215
27	82	213
28	86	210
29	89	208
30	92	206
31	95	203
32	99	201
33	102	198
34	105	196
35	109	193
36	112	191
37	115	188
38	118	185
39	122	183
40	125	180
41	128	177
42	131	174
43	135	172
44	138	169
45	141	166
46	144	163
47	148	160
48	151	157
49	154	154
50	157	151
51	161	148
52	164	145
53	167	142
54	170	139
55	174	136
56	177	133
57	180	130
58	184	127
59	187	124
60	190	121
61	194	118
62	197	115
63	200	112
64	203	109
65	207	106
66	210	103
67	213	100
68	216	97
69	220	94
70	223	91
71	226	88
72	229	85
73	233	81
74	236	78
75	239	75
76	243	72
77	246	69
78	249	66
79	252	63
80	256	60
81	259	56
82	262	53
83	265	50
84	269	47
85	272	44
86	275	41
87	278	38
88	282	34
89	285	31
90	288	28
91	291	25
92	295	22
93	298	19
94	301	15
95	304	12
96	308	9
97	311	6
98	314	3
99	317	0
